,latitude,longitude,county
726,38.18,-122.0,Solano County
727,39.02,-121.72,Sutter County
728,38.71,-121.55,Sacramento County
729,41.58,-121.89,Siskiyou County
730,41.45,-121.8,Siskiyou County
731,41.58,-121.88,Siskiyou County
732,39.25,-122.18,Colusa County
733,39.2,-122.15,Colusa County
734,38.09,-121.9,Solano County
735,38.19,-122.11,Solano County
736,38.09,-121.89,Solano County
737,38.1,-121.9,Solano County
738,40.92,-120.57,Lassen County
739,39.36,-122.22,Colusa County
740,39.28,-121.99,Lake County
741,39.34,-122.22,Colusa County
742,37.81,-120.94,San Joaquin County
743,37.84,-120.97,San Joaquin County
744,37.57,-120.99,Stanislaus County
745,39.41,-123.18,Mendocino County
746,40.92,-120.56,Lassen County
747,37.92,-120.08,Tuolumne County
748,38.09,-120.6,Calaveras County
749,42.42,-121.2,Klamath County
750,42.41,-121.2,Klamath County
751,38.09,-120.59,Calaveras County
752,39.49,-123.79,Mendocino County
753,39.5,-123.79,Mendocino County
754,39.37,-121.66,Colusa County
755,38.81,-121.46,Sutter County
756,39.13,-121.5,Yuba County
757,38.88,-121.47,Sutter County
758,38.18,-121.57,Sacramento County
759,40.16,-122.32,Tehama County
760,39.5,-121.76,Lake County
761,39.34,-122.21,Curry County
762,39.35,-121.76,Colusa County
763,38.87,-121.47,Sutter County
764,38.88,-121.48,Sutter County
765,39.28,-122.22,Colusa County
766,39.3,-121.72,Sutter County
767,39.51,-118.86,Churchill County
768,41.94,-121.61,Siskiyou County
769,41.94,-121.62,Siskiyou County
770,37.83,-121.18,San Joaquin County
771,37.76,-120.77,Stanislaus County
772,40.2,-123.49,Trinity County
773,41.34,-123.52,Humboldt County
774,37.84,-120.93,Stanislaus County
775,39.33,-122.22,Colusa County
776,39.3,-122.22,Colusa County
777,39.35,-122.14,Colusa County
778,38.36,-121.57,Sacramento County
779,40.19,-122.03,Tehama County
780,40.1,-122.1,Curry County
781,39.16,-122.31,Colusa County
782,38.92,-122.16,Yolo County
783,39.44,-122.2,Glenn County
784,37.39,-120.61,Merced County
785,40.51,-120.47,Lassen County
786,40.09,-122.1,Tehama County
787,40.09,-122.09,Tehama County
788,38.18,-121.14,San Joaquin County
789,41.85,-121.54,Siskiyou County
790,41.85,-121.53,Siskiyou County
791,41.88,-121.49,Siskiyou County
792,42.06,-121.56,Klamath County
793,42.06,-121.55,Klamath County
794,42.05,-121.55,Klamath County
795,38.94,-122.83,Lake County
796,38.94,-122.82,Lake County
797,39.09,-121.14,Nevada County
798,40.38,-121.79,Tehama County
799,37.87,-120.47,Tuolumne County
800,42.45,-123.17,Jackson County
801,39.15,-122.18,Colusa County
802,39.15,-122.19,Lake County
803,42.6,-121.78,Klamath County
804,42.59,-121.78,Klamath County
805,40.95,-120.86,Lassen County
806,39.0,-122.91,Lake County
807,41.49,-120.96,Modoc County
808,39.56,-122.23,Glenn County
